                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0574,                 1.0987,                 1.3492,                0.94525,                0.53788,                0.60149,                 0.4371,                 1.5779,                 1.9703,                 1.7056,              0.0011832,              0.0011832,              0.0011832
                     35,                 1.0327,                 1.0789,                 1.3448,                0.93853,                0.53141,                0.60499,                0.43382,                  1.508,                 1.9528,                 1.6782,              0.0011733,              0.0011733,              0.0011733
                     36,                 1.0425,                 1.1037,                 1.3499,                  0.968,                0.53961,                0.62133,                0.44469,                 1.5591,                 1.9444,                 1.6803,              0.0011634,              0.0011634,              0.0011634
                     37,                 1.0433,                 1.0823,                 1.3458,                0.89739,                0.54323,                0.64778,                0.45788,                 1.5061,                  1.696,                 1.6552,              0.0011535,              0.0011535,              0.0011535
                     38,                 1.0288,                 1.0569,                 1.3302,                0.94328,                0.54292,                0.64093,                0.44673,                 1.5349,                 1.8093,                 1.6752,              0.0011436,              0.0011436,              0.0011436
                     39,                 1.0276,                 1.0431,                 1.3249,                0.79013,                0.55963,                0.62333,                0.44728,                 1.5038,                 1.8138,                 1.6551,              0.0011337,              0.0011337,              0.0011337
                     40,                 1.0156,                 1.0326,                 1.3265,                0.89616,                0.57478,                0.68178,                0.47496,                 1.4919,                 1.7184,                 1.6755,              0.0011238,              0.0011238,              0.0011238
                     41,                 1.0072,                 1.0141,                 1.3173,                0.65535,                0.62175,                0.64249,                 0.4606,                 1.4774,                 1.7354,                 1.6352,              0.0011139,              0.0011139,              0.0011139
                     42,                 1.0155,                 1.0331,                 1.3217,                0.67152,                0.61767,                0.66279,                0.47245,                 1.5162,                 1.7071,                 1.6215,               0.001104,               0.001104,               0.001104
                     43,                 1.0197,                 1.0395,                 1.3248,                  0.742,                0.58867,                0.65281,                 0.4654,                 1.4747,                 1.7183,                 1.6439,              0.0010941,              0.0010941,              0.0010941
                     44,                 1.0151,                 1.0261,                 1.3191,                0.66859,                0.63033,                0.66314,                0.47784,                 1.4362,                 1.6679,                 1.6047,              0.0010842,              0.0010842,              0.0010842
                     45,                 1.0207,                 1.0362,                  1.334,                0.92778,                0.51252,                0.59595,                0.43548,                  1.451,                 2.0378,                 1.5896,              0.0010743,              0.0010743,              0.0010743
                     46,                  0.979,                0.97892,                 1.2916,                0.83392,                0.59152,                0.66587,                0.47698,                 1.4879,                 1.7281,                 1.6206,              0.0010644,              0.0010644,              0.0010644
                     47,                0.99732,                 1.0103,                 1.3074,                0.76665,                0.61439,                0.67464,                0.48583,                 1.4487,                 1.7662,                 1.6121,              0.0010545,              0.0010545,              0.0010545
                     48,                 1.0024,                 1.0112,                 1.3069,                0.83254,                0.56947,                0.64708,                0.46704,                 1.4192,                 1.7251,                 1.5835,              0.0010446,              0.0010446,              0.0010446
