                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.99242,                0.93092,                 1.2881,                0.74848,                0.73938,                0.78152,                0.55962,                 1.1853,                  1.342,                 1.3504,              0.0011832,              0.0011832,              0.0011832
                     35,                  0.987,                0.94316,                 1.2925,                0.78323,                0.78122,                0.80688,                 0.6053,                 1.0891,                 1.2565,                 1.2762,              0.0011733,              0.0011733,              0.0011733
                     36,                0.99094,                0.96475,                 1.2973,                0.79692,                0.68424,                0.77343,                0.58541,                 1.0706,                 1.3677,                 1.2295,              0.0011634,              0.0011634,              0.0011634
                     37,                0.97722,                0.93437,                 1.2859,                0.86339,                0.71937,                0.80305,                0.59451,                 1.0676,                  1.293,                 1.2506,              0.0011535,              0.0011535,              0.0011535
                     38,                0.96938,                0.92142,                 1.2751,                0.83371,                0.66749,                0.77521,                0.57428,                 1.0444,                 1.3222,                 1.2511,              0.0011436,              0.0011436,              0.0011436
                     39,                0.97464,                0.93089,                 1.2799,                 0.7858,                0.73242,                0.76633,                0.56071,                 1.1502,                 1.4011,                 1.3108,              0.0011337,              0.0011337,              0.0011337
                     40,                0.96878,                0.91259,                 1.2846,                0.82086,                0.81087,                0.82843,                0.61359,                 1.1461,                 1.1846,                 1.3212,              0.0011238,              0.0011238,              0.0011238
                     41,                0.95947,                0.89433,                 1.2769,                0.86372,                0.64951,                0.77225,                0.58842,                 1.0288,                 1.4327,                 1.2095,              0.0011139,              0.0011139,              0.0011139
                     42,                0.96998,                 0.8985,                  1.274,                 0.8195,                0.73955,                0.80046,                0.60359,                  1.053,                 1.2799,                 1.2676,               0.001104,               0.001104,               0.001104
                     43,                0.95554,                0.88966,                 1.2727,                0.85997,                0.79289,                0.83905,                0.61397,                 1.1061,                 1.1641,                 1.2853,              0.0010941,              0.0010941,              0.0010941
                     44,                0.94647,                0.88577,                  1.256,                0.84898,                0.75204,                0.82725,                0.63228,                 1.0057,                 1.1194,                 1.1742,              0.0010842,              0.0010842,              0.0010842
                     45,                0.95327,                0.89484,                 1.2749,                0.78141,                0.74629,                0.79658,                0.57522,                 1.1259,                 1.3766,                 1.2577,              0.0010743,              0.0010743,              0.0010743
                     46,                0.92108,                0.84995,                 1.2419,                0.79945,                0.76712,                0.81243,                0.61533,                 1.0897,                 1.2327,                 1.2611,              0.0010644,              0.0010644,              0.0010644
                     47,                 0.9464,                0.86955,                 1.2552,                0.87893,                0.78799,                0.84951,                0.65129,                0.99291,                 1.0494,                 1.1906,              0.0010545,              0.0010545,              0.0010545
                     48,                0.94421,                0.86987,                 1.2545,                0.86328,                0.78799,                0.84757,                0.64789,                 1.0045,                 1.0682,                 1.2051,              0.0010446,              0.0010446,              0.0010446
                     49,                0.93687,                0.86448,                 1.2569,                0.80552,                 0.7643,                0.81493,                0.60947,                  1.016,                 1.0927,                 1.2066,              0.0010347,              0.0010347,              0.0010347
                     50,                0.94479,                0.86492,                  1.262,                0.72737,                0.75368,                0.77775,                0.58201,                 1.0449,                 1.4001,                 1.2288,              0.0010248,              0.0010248,              0.0010248
                     51,                0.93929,                0.84753,                 1.2511,                0.83452,                0.78159,                 0.8187,                0.61124,                 1.0154,                 1.1672,                 1.2194,              0.0010149,              0.0010149,              0.0010149
                     52,                0.93197,                0.84106,                 1.2399,                0.83914,                0.74265,                0.80917,                0.63209,                 1.0171,                 1.1372,                 1.2132,               0.001005,               0.001005,               0.001005
                     53,                0.91932,                0.83812,                 1.2415,                0.86167,                0.78963,                0.84292,                 0.6451,                0.98503,                 1.0453,                 1.1736,              0.0009951,              0.0009951,              0.0009951
                     54,                0.92087,                0.83886,                   1.24,                 0.8847,                0.72844,                0.80981,                 0.6086,                 1.0713,                  1.258,                 1.2448,              0.0009852,              0.0009852,              0.0009852
                     55,                0.91659,                0.82052,                 1.2271,                0.87611,                0.79494,                0.84833,                0.63937,                 1.0426,                 1.0175,                 1.2061,              0.0009753,              0.0009753,              0.0009753
                     56,                0.92303,                0.83932,                 1.2381,                0.89673,                0.78039,                0.85516,                0.66171,                0.97007,                0.95823,                 1.1703,              0.0009654,              0.0009654,              0.0009654
                     57,                0.91532,                 0.8163,                 1.2334,                0.89784,                0.72958,                0.81356,                0.63282,                 1.0045,                 1.2632,                 1.1943,              0.0009555,              0.0009555,              0.0009555
                     58,                0.91421,                0.81616,                 1.2341,                0.81281,                0.83393,                0.84376,                0.62416,                 1.0714,                 1.0329,                 1.2302,              0.0009456,              0.0009456,              0.0009456
                     59,                0.92608,                0.82183,                  1.241,                0.83263,                0.78309,                0.82546,                0.62275,                 1.0423,                 1.1205,                 1.2227,              0.0009357,              0.0009357,              0.0009357
                     60,                0.90344,                0.79918,                 1.2251,                0.82476,                0.77318,                0.82757,                0.62364,                0.99505,                 1.0093,                 1.1814,              0.0009258,              0.0009258,              0.0009258
                     61,                0.92982,                0.82429,                 1.2407,                0.78253,                0.72596,                0.79333,                0.62114,                0.99664,                 1.1799,                  1.172,              0.0009159,              0.0009159,              0.0009159
                     62,                0.90531,                0.80897,                 1.2243,                0.84362,                 0.8027,                0.84138,                0.64782,                0.98619,                 1.0765,                 1.1612,               0.000906,               0.000906,               0.000906
                     63,                0.88514,                0.78638,                 1.2123,                0.81491,                0.74056,                0.82469,                0.63509,                 1.0358,                 1.1264,                 1.2028,              0.0008961,              0.0008961,              0.0008961
                     64,                0.89442,                0.79647,                 1.2225,                0.86889,                0.74234,                0.83084,                0.63764,                 1.0384,                 1.1547,                 1.1967,              0.0008862,              0.0008862,              0.0008862
                     65,                0.88786,                0.77409,                 1.2146,                0.84341,                0.69153,                0.79202,                 0.6061,                 1.0168,                 1.2271,                 1.1668,              0.0008763,              0.0008763,              0.0008763
                     66,                0.89525,                0.79167,                 1.2169,                0.83953,                0.79657,                0.83358,                0.63104,                  1.016,                 1.1287,                 1.2093,              0.0008664,              0.0008664,              0.0008664
                     67,                0.88777,                 0.7827,                 1.2223,                0.87475,                0.79616,                0.83807,                 0.6274,                 1.0402,                 1.0589,                  1.213,              0.0008565,              0.0008565,              0.0008565
                     68,                0.88066,                0.76581,                 1.2167,                0.85458,                0.74387,                0.81552,                0.62427,                 1.0165,                 1.1813,                 1.1961,              0.0008466,              0.0008466,              0.0008466
                     69,                0.88695,                0.77097,                 1.2174,                0.83477,                0.74714,                0.80692,                0.62813,                 1.0077,                 1.1792,                 1.2005,              0.0008367,              0.0008367,              0.0008367
                     70,                 0.8935,                0.78173,                 1.2199,                0.83277,                 0.7835,                0.81006,                 0.6175,                 1.0426,                 1.1439,                 1.2119,              0.0008268,              0.0008268,              0.0008268
                     71,                0.88512,                0.76013,                 1.2124,                0.81876,                0.83048,                0.84335,                0.65732,                0.94951,                 1.0062,                 1.1318,              0.0008169,              0.0008169,              0.0008169
                     72,                0.86086,                0.75205,                 1.2119,                0.87317,                0.76675,                0.84355,                0.66347,                0.96714,                 1.0184,                 1.1512,               0.000807,               0.000807,               0.000807
