                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0383,                 1.0582,                 1.3342,                0.94634,                0.54251,                0.63163,                0.45247,                 1.5455,                 1.7936,                 1.6844,              0.0011832,              0.0011832,              0.0011832
                     35,                 1.0292,                 1.0599,                 1.3392,                0.76101,                0.62724,                0.68479,                0.48395,                 1.4453,                 1.5523,                 1.5772,              0.0011733,              0.0011733,              0.0011733
                     36,                 1.0283,                  1.064,                 1.3378,                 0.8908,                0.55476,                0.62937,                0.45592,                 1.4388,                 1.8286,                 1.5527,              0.0011634,              0.0011634,              0.0011634
                     37,                  1.015,                 1.0392,                 1.3202,                0.83766,                0.59183,                0.69627,                0.48216,                 1.4439,                 1.6537,                 1.5483,              0.0011535,              0.0011535,              0.0011535
                     38,                 1.0224,                 1.0221,                 1.3269,                0.85049,                0.60092,                0.67835,                 0.4743,                 1.4536,                 1.7487,                 1.5642,              0.0011436,              0.0011436,              0.0011436
                     39,                 1.0075,                 1.0403,                 1.3186,                0.81551,                 0.5578,                0.61716,                0.43148,                 1.5279,                 1.8354,                 1.6779,              0.0011337,              0.0011337,              0.0011337
                     40,                  1.004,                 1.0142,                 1.3218,                0.69047,                0.62719,                0.66701,                0.47383,                 1.4353,                 1.7612,                 1.5874,              0.0011238,              0.0011238,              0.0011238
                     41,                0.99668,                 1.0002,                 1.3124,                0.89973,                0.56538,                0.65863,                0.46581,                 1.4867,                 1.7399,                 1.6489,              0.0011139,              0.0011139,              0.0011139
                     42,                 1.0028,                 1.0145,                 1.3164,                0.73642,                0.61848,                0.68126,                 0.4822,                 1.3871,                 1.6667,                 1.5529,               0.001104,               0.001104,               0.001104
                     43,                 1.0127,                 1.0109,                 1.3202,                0.75076,                0.63295,                  0.682,                0.49692,                 1.4456,                 1.6683,                 1.6113,              0.0010941,              0.0010941,              0.0010941
                     44,                0.99407,                 1.0048,                 1.3087,                0.80173,                0.62747,                0.70172,                0.50215,                 1.3804,                 1.6443,                 1.5561,              0.0010842,              0.0010842,              0.0010842
                     45,                0.99738,                 1.0078,                 1.3179,                0.77349,                0.61234,                0.67297,                0.49234,                 1.3864,                  1.618,                 1.5348,              0.0010743,              0.0010743,              0.0010743
                     46,                0.96857,                0.95824,                 1.2938,                0.90924,                0.54174,                0.63797,                0.45203,                 1.5105,                  1.947,                  1.646,              0.0010644,              0.0010644,              0.0010644
                     47,                0.97501,                0.96992,                  1.298,                0.83086,                0.63441,                0.72399,                0.51533,                 1.3576,                  1.609,                 1.4778,              0.0010545,              0.0010545,              0.0010545
                     48,                0.99262,                 0.9772,                  1.302,                0.85098,                0.60949,                 0.6809,                0.49585,                 1.4667,                 1.6446,                 1.5971,              0.0010446,              0.0010446,              0.0010446
                     49,                0.98086,                0.97336,                 1.2927,                0.73318,                 0.6113,                0.67755,                0.50015,                 1.3373,                 1.6391,                   1.53,              0.0010347,              0.0010347,              0.0010347
                     50,                0.99568,                0.96799,                  1.307,                0.82856,                0.60677,                0.66204,                 0.4807,                 1.3236,                 1.6858,                 1.4949,              0.0010248,              0.0010248,              0.0010248
                     51,                0.97292,                0.96593,                 1.2924,                0.75563,                0.69486,                0.73429,                0.51955,                 1.3901,                 1.4263,                 1.5005,              0.0010149,              0.0010149,              0.0010149
                     52,                0.97143,                0.93812,                 1.2812,                0.78941,                0.68833,                0.72461,                0.52495,                 1.3545,                 1.4898,                 1.4918,               0.001005,               0.001005,               0.001005
                     53,                0.95792,                0.94797,                 1.2828,                0.81598,                0.62542,                0.67854,                0.48901,                 1.3803,                 1.6813,                 1.5219,              0.0009951,              0.0009951,              0.0009951
                     54,                0.96751,                0.95669,                 1.2895,                0.92107,                0.54456,                0.65513,                0.47336,                 1.3714,                 1.9336,                 1.5124,              0.0009852,              0.0009852,              0.0009852
                     55,                0.97085,                0.95698,                 1.2812,                0.84523,                0.59046,                0.66527,                0.47749,                 1.5033,                 1.6168,                 1.6229,              0.0009753,              0.0009753,              0.0009753
                     56,                0.96736,                0.93239,                 1.2846,                0.79332,                0.64421,                0.70286,                0.50832,                 1.4135,                 1.6033,                  1.563,              0.0009654,              0.0009654,              0.0009654
                     57,                0.95375,                0.92427,                 1.2734,                0.79528,                0.65362,                0.72201,                0.50414,                 1.3713,                 1.5452,                  1.506,              0.0009555,              0.0009555,              0.0009555
                     58,                0.95907,                0.92754,                 1.2837,                0.75835,                0.66382,                0.69609,                0.49391,                 1.3797,                 1.5502,                 1.5243,              0.0009456,              0.0009456,              0.0009456
                     59,                0.96996,                0.92872,                 1.2824,                0.84515,                0.60662,                0.68889,                0.48169,                  1.418,                 1.6707,                 1.5514,              0.0009357,              0.0009357,              0.0009357
                     60,                0.94091,                0.90266,                 1.2651,                0.75417,                0.66749,                0.71075,                0.51845,                 1.3615,                 1.6262,                 1.5171,              0.0009258,              0.0009258,              0.0009258
                     61,                0.97417,                0.92801,                  1.284,                0.81558,                0.69609,                0.75079,                0.53418,                 1.3384,                 1.3663,                 1.4487,              0.0009159,              0.0009159,              0.0009159
                     62,                0.94575,                0.90477,                 1.2649,                0.73569,                0.64094,                0.67911,                0.49876,                 1.3954,                 1.5738,                  1.558,               0.000906,               0.000906,               0.000906
                     63,                0.93851,                0.89089,                 1.2647,                0.74498,                0.63849,                 0.7077,                0.51463,                 1.3553,                 1.5775,                 1.4991,              0.0008961,              0.0008961,              0.0008961
                     64,                0.93404,                0.89617,                 1.2638,                0.82436,                0.63359,                0.70518,                0.51586,                 1.3593,                 1.5779,                 1.5058,              0.0008862,              0.0008862,              0.0008862
                     65,                0.92881,                 0.8783,                 1.2489,                0.78422,                0.63359,                0.70465,                0.51648,                 1.3885,                 1.5559,                 1.5479,              0.0008763,              0.0008763,              0.0008763
                     66,                0.93502,                0.89906,                 1.2538,                0.71306,                0.68593,                0.71768,                0.51678,                 1.3655,                 1.6037,                 1.5201,              0.0008664,              0.0008664,              0.0008664
                     67,                0.91789,                0.88596,                 1.2545,                0.80537,                0.61946,                0.70174,                0.51239,                 1.3522,                 1.5882,                 1.5055,              0.0008565,              0.0008565,              0.0008565
                     68,                0.92766,                 0.8653,                 1.2523,                0.71871,                0.70344,                0.72173,                 0.5245,                 1.3341,                 1.4824,                  1.465,              0.0008466,              0.0008466,              0.0008466
                     69,                0.92626,                0.87693,                 1.2536,                0.72437,                0.66668,                0.68986,                0.51038,                  1.359,                 1.6121,                 1.4923,              0.0008367,              0.0008367,              0.0008367
                     70,                0.93227,                0.86797,                 1.2603,                0.81617,                0.69097,                0.75357,                0.55283,                 1.2945,                 1.4483,                 1.4337,              0.0008268,              0.0008268,              0.0008268
                     71,                0.92015,                0.84519,                 1.2479,                0.79442,                0.67323,                0.72678,                 0.5272,                 1.3767,                 1.5179,                 1.5263,              0.0008169,              0.0008169,              0.0008169
                     72,                0.90091,                0.84746,                 1.2513,                0.76552,                0.67361,                0.73069,                 0.5212,                 1.4064,                  1.502,                 1.5247,               0.000807,               0.000807,               0.000807
                     73,                0.91977,                0.84584,                 1.2449,                0.81123,                0.66749,                0.72767,                0.53493,                 1.3552,                 1.4588,                 1.4878,              0.0007971,              0.0007971,              0.0007971
                     74,                0.93463,                0.87018,                 1.2518,                0.80346,                0.69736,                0.75068,                0.53434,                 1.3521,                   1.42,                 1.4882,              0.0007872,              0.0007872,              0.0007872
                     75,                0.92248,                0.85437,                 1.2574,                0.73096,                0.69617,                0.73178,                0.52231,                 1.4127,                 1.4758,                 1.5325,              0.0007773,              0.0007773,              0.0007773
                     76,                0.90665,                0.83595,                 1.2383,                0.78841,                0.67702,                0.73533,                0.52944,                 1.3964,                 1.4376,                 1.5375,              0.0007674,              0.0007674,              0.0007674
                     77,                0.91185,                0.82495,                 1.2453,                 0.7909,                0.72178,                0.76781,                0.54618,                 1.3298,                 1.4273,                 1.4447,              0.0007575,              0.0007575,              0.0007575
                     78,                0.90399,                 0.8168,                 1.2405,                0.79177,                0.70488,                0.75528,                0.54665,                 1.2999,                 1.4346,                  1.431,              0.0007476,              0.0007476,              0.0007476
                     79,                 0.9208,                0.84378,                 1.2491,                 0.7672,                0.69853,                0.75094,                0.53579,                 1.3675,                 1.4331,                 1.5044,              0.0007377,              0.0007377,              0.0007377
                     80,                0.90308,                0.82229,                 1.2319,                0.80295,                0.69363,                0.74587,                0.53399,                  1.331,                 1.4329,                 1.4731,              0.0007278,              0.0007278,              0.0007278
                     81,                0.89841,                0.81854,                  1.235,                0.80408,                0.74184,                 0.7764,                   0.56,                 1.3219,                 1.3088,                 1.4638,              0.0007179,              0.0007179,              0.0007179
                     82,                0.90796,                0.81923,                 1.2426,                0.84192,                0.65549,                0.74146,                0.53135,                 1.3545,                 1.4873,                 1.4881,               0.000708,               0.000708,               0.000708
                     83,                0.89157,                0.80481,                 1.2261,                0.88583,                0.67729,                0.76313,                0.56712,                 1.2755,                 1.3945,                 1.4274,              0.0006981,              0.0006981,              0.0006981
