                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.031,                 1.0681,                  1.354,                0.60955,                0.58691,                0.60658,                0.39916,                 1.3226,                 1.3501,                 1.3542,               0.007822,               0.007822,               0.007822
                     36,                 1.0109,                 1.0317,                 1.3485,                0.71194,                0.53733,                0.59051,                0.39271,                  1.333,                 1.3639,                 1.3399,               0.007756,               0.007756,               0.007756
                     37,                  1.024,                 1.0353,                 1.3456,                0.63767,                0.56045,                0.59083,                0.40198,                 1.2783,                 1.3586,                 1.2991,                0.00769,                0.00769,                0.00769
                     38,                 1.0166,                 1.0154,                 1.3374,                0.66981,                0.59289,                0.63316,                0.40905,                 1.3308,                  1.278,                 1.3176,               0.007624,               0.007624,               0.007624
                     39,                 1.0266,                 1.0372,                 1.3454,                0.75131,                0.52046,                0.55388,                0.38342,                 1.3221,                  1.477,                 1.3066,               0.007558,               0.007558,               0.007558
                     40,                 1.0073,                 1.0229,                 1.3398,                0.64827,                0.55199,                0.57255,                 0.3855,                    1.3,                  1.349,                  1.295,               0.007492,               0.007492,               0.007492
                     41,                0.99431,                0.98574,                 1.3268,                0.70608,                0.58212,                0.62191,                0.41475,                 1.2983,                 1.2546,                 1.3043,               0.007426,               0.007426,               0.007426
                     42,                 1.0019,                0.98868,                 1.3294,                0.65214,                0.56965,                0.59132,                 0.4015,                 1.3144,                 1.3186,                 1.3196,                0.00736,                0.00736,                0.00736
                     43,                 0.9943,                0.98509,                 1.3234,                0.67244,                0.57397,                0.61926,                0.41744,                 1.2547,                 1.2687,                 1.2813,               0.007294,               0.007294,               0.007294
                     44,                 0.9956,                0.99939,                 1.3262,                0.64991,                 0.6064,                 0.6224,                0.41983,                 1.2738,                 1.2191,                 1.2924,               0.007228,               0.007228,               0.007228
                     45,                0.99629,                 1.0049,                 1.3282,                0.72083,                0.56987,                0.61255,                0.41454,                 1.2762,                 1.2633,                 1.3076,               0.007162,               0.007162,               0.007162
                     46,                0.98179,                0.95816,                 1.3158,                0.68001,                0.55675,                0.60153,                0.40616,                 1.2916,                 1.3023,                 1.2954,               0.007096,               0.007096,               0.007096
