                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97524,                0.91517,                 1.3063,                 0.7068,                0.66645,                0.70776,                0.47661,                 1.2428,                 1.0484,                 1.2462,              0.0086932,              0.0086932,              0.0086932
                     36,                0.96701,                0.90989,                 1.2913,                0.78493,                0.67787,                0.74089,                0.49171,                 1.2395,                 1.0814,                 1.2365,              0.0086536,              0.0086536,              0.0086536
                     37,                0.97317,                0.91213,                 1.2951,                0.71009,                0.69812,                0.74189,                0.47864,                 1.2888,                 1.0486,                 1.2489,               0.008614,               0.008614,               0.008614
                     38,                0.97605,                0.91109,                  1.296,                0.71272,                 0.7347,                0.75101,                0.47954,                 1.2752,                 1.0003,                 1.2821,              0.0085744,              0.0085744,              0.0085744
                     39,                0.97074,                0.91481,                 1.2912,                0.70464,                0.67485,                0.71261,                0.48497,                 1.2366,                 1.0508,                 1.2676,              0.0085348,              0.0085348,              0.0085348
                     40,                0.97148,                0.89615,                 1.2912,                0.78683,                0.63985,                0.72654,                0.48876,                 1.2458,                 1.0574,                 1.2493,              0.0084952,              0.0084952,              0.0084952
                     41,                0.97023,                0.90079,                 1.2931,                0.74046,                0.67306,                0.72923,                0.48404,                 1.2628,                 1.0673,                 1.2426,              0.0084556,              0.0084556,              0.0084556
                     42,                0.95599,                0.87376,                 1.2833,                0.71162,                0.73334,                0.75566,                0.51075,                  1.199,                0.97913,                 1.2082,               0.008416,               0.008416,               0.008416
                     43,                 0.9588,                0.89332,                 1.2851,                0.67992,                 0.7152,                0.72112,                0.48921,                 1.2202,                 0.9864,                 1.2405,              0.0083764,              0.0083764,              0.0083764
                     44,                0.95011,                0.87949,                  1.286,                0.72088,                0.70824,                0.74458,                0.50055,                 1.2078,                 1.0129,                 1.2447,              0.0083368,              0.0083368,              0.0083368
